1115	Czech Univ Life Sci Prague	99	1805	186	0.103
1116	Don State Tech Univ	16361	1805	54	0.03
1117	Army Engn Univ PLA	52638	1805	138	0.076
1118	Univ Silesia Katowice	512	1804	106	0.059
1119	Kent State Univ	3484	1804	179	0.099
1120	Hanoi Univ Sci & Technol	1383	1801	85	0.047
1121	Novosibirsk State Univ	9692	1801	55	0.031
1122	Univ Natl Plata	1053	1801	74	0.041
1123	Dublin City Univ	401	1795	231	0.129
1124	Univ Jaume I	1003	1795	166	0.093
1125	Univ Essex	286	1790	230	0.128
1126	Bursa Uludağ Univ	718	1789	96	0.053
1127	Hebei Agr Univ	18548	1782	221	0.124
1128	Jimma Univ	52990	1778	152	0.085
1129	Loyola Univ Chicago	1243	1777	136	0.077
1130	Minia Univ	18969	1776	197	0.111
1131	Coventry Univ	288	1772	194	0.11
1132	Annamalai Univ	2470	1771	83	0.047
1133	Indian Inst Technol Patna	52997	1770	150	0.085
1134	Hasanuddin Univ	53860	1770	70	0.039
1135	Univ Missouri - Kansas City	3488	1769	159	0.09
1136	Univ Žilina	616	1765	98	0.055
1137	Hamedan Univ Med Sci	19120	1764	123	0.07
1138	Univ Concepción	3707	1758	99	0.056
1139	Northeast Petrol Univ	18716	1755	188	0.107
1140	Educ Univ Hong Kong	52635	1755	290	0.165
1141	Univ Sumatera Utara	55391	1752	42	0.024
1142	Nazarbayev Univ	18960	1752	178	0.102
1143	Univ Wisconsin - Milwaukee	1471	1747	151	0.086
1144	Jeju Natl Univ	16435	1746	140	0.08
1145	Univ Aut Metropolitana	9560	1746	79	0.045
1146	Southwest Med Univ	19152	1743	239	0.137
1147	Chitkara Univ	54795	1740	190	0.109
1148	N China Univ Water Resources & Elect Power	19166	1738	169	0.097
1149	E China Jiaotong Univ	18775	1738	189	0.109
1150	Indian Inst Engn Sci & Technol - Shibpur	19133	1736	116	0.067
1151	Tokyo Univ Agr & Technol	1547	1735	69	0.04
1152	Inst Pertanian Bogor	9026	1731	58	0.033
1153	Univ Wrocław	542	1726	121	0.07
1154	Xi'an Technol Univ	54735	1726	115	0.066
1155	Ahvaz Jundishapur Univ Med Sci	18790	1725	115	0.067
1156	Univ Stavanger	500	1723	192	0.111
1157	Mohammed First Univ	55356	1721	64	0.037
1158	Karadeniz Tech Univ	749	1720	137	0.08
1159	Chongqing Univ Technol	18773	1719	172	0.1
1160	Boston Coll	3485	1719	272	0.158
1161	Motilal Nehru Natl Inst Technol	53133	1719	120	0.07
1162	Ritsumeikan Univ	9530	1718	73	0.043
1163	Heriot-Watt Univ	295	1715	202	0.118
1164	Kagoshima Univ	1096	1715	62	0.036
1165	RUDN Univ	10068	1714	94	0.055
1166	Bharathidasan Univ	2484	1713	86	0.05
1167	Kocaeli Univ	741	1713	98	0.057
1168	Univ Hohenheim	877	1710	172	0.1
1169	Univ Pécs	389	1710	158	0.093
1170	Semnan Univ	9490	1710	180	0.105
1171	Univ Memphis	3491	1707	117	0.069
1172	Univ Salento	423	1705	186	0.109
1173	Univ Toyama	3634	1705	70	0.041
1174	Univ Hail	53865	1705	171	0.101
1175	Tokyo Metropolitan Univ	3656	1704	56	0.033
1176	Humanitas Univ	18676	1703	281	0.165
1177	Chosun Univ	3746	1701	121	0.071
1178	Birla Inst Technol Mesra	19142	1701	120	0.071
1179	Old Dominion Univ	3496	1701	155	0.091
1180	Murdoch Univ	3690	1700	205	0.121
1181	Gwangju Inst Sci & Technol	3743	1698	154	0.091
1182	Guru Nanak Dev Univ	2478	1696	151	0.089
1183	Mustansiriyah Univ	33438	1693	47	0.027
1184	Tech Univ Košice	614	1690	96	0.057
1185	Shanghai Univ Elect Power	18712	1690	152	0.09
1186	Fed Univ Technol Akure	53021	1688	82	0.049
1187	Univ Iceland	394	1686	141	0.084
1188	Seoul Natl Univ Sci & Technol	9732	1677	123	0.074
1189	Texas State Univ	18085	1671	146	0.087
1190	Colorado Sch Mines	3497	1669	167	0.1
1191	Univ Split	75	1668	139	0.084
1192	Univ South Queensland	9414	1668	238	0.143
1193	Jichi Med Univ	3645	1668	97	0.058
1194	Datta Meghe Inst High Educ & Res	55381	1665	124	0.075
1195	Univ Gdańsk	507	1664	117	0.07
1196	Int Islamic Univ Malaysia	53218	1662	93	0.056
1197	Kitasato Univ	1544	1661	65	0.039
1198	Gunma Univ	1530	1658	66	0.04
1199	Univ Plymouth	341	1658	213	0.128
1200	Binghamton Univ - SUNY	3492	1656	137	0.082
1201	Wuhan Textile Univ	18545	1652	143	0.087
1202	Politec Bari	807	1648	212	0.129
1203	Incheon Natl Univ	18584	1647	121	0.073
1204	Örebro Univ	682	1643	159	0.097
1205	Univ Beira Interior	550	1642	167	0.102
1206	Pondicherry Univ	2515	1642	87	0.053
1207	VŠB - Tech Univ Ostrava	92	1636	100	0.061
1208	Hangzhou Med Coll	10523	1634	183	0.112
1209	Charles Sturt Univ	18090	1633	148	0.091
1210	Ohio Univ	3476	1633	127	0.078
1211	Univ W Indies	55358	1629	78	0.048
1212	Slovak Univ Technol Bratislava	611	1627	61	0.037
