183	National Institute for Health and Medical Research (INSERM)	France	145.53	1705.0
184	Georgia Institute of Technology (Georgia Tech)	United States of America (USA)	144.27	499.0
185	Nagoya University	Japan	144.17	527.0
186	Pohang University of Science and Technology (POSTECH)	South Korea	143.56	420.0
187	Rice University	United States of America (USA)	143.37	539.0
188	University of Geneva (UNIGE)	Switzerland	143.32	541.0
189	China Meteorological Administration (CMA)	China	142.4	496.0
190	Nanjing University of Aeronautics and Astronautics (NUAA)	China	141.53	295.0
191	King's College London (KCL)	United Kingdom (UK)	140.47	724.0
192	Rutgers, The State University of New Jersey (RU)	United States of America (USA)	139.43	748.0
193	Yunnan University (YNU)	China	138.78	477.0
194	China University of Geosciences, Beijing (CUGB)	China	138.15	483.0
195	Kunming University of Science and Technology (KUST)	China	137.54	289.0
196	Uppsala University (UU)	Sweden	136.79	784.0
197	Delft University of Technology (TU Delft)	Netherlands	134.76	371.0
198	University of Freiburg (Uni Freiburg)	Germany	134.1	509.0
199	University of Amsterdam (UvA)	Netherlands	133.7	985.0
200	Hebrew University of Jerusalem (HUJI)	Israel	132.89	369.0
201	Northwest A&F University (NWAFU)	China	132.88	263.0
202	Indian Institute of Science (IISc)	India	132.79	262.0
203	National Institute for Materials Science (NIMS)	Japan	132.5	538.0
204	Hainan University	China	132.13	477.0
205	Nanjing Medical University (NJMU)	China	132.0	461.0
206	Tianjin University of Technology (TJUT)	China	131.2	399.0
207	University of Groningen (RUG)	Netherlands	130.84	639.0
208	Memorial Sloan Kettering Cancer Center (MSKCC)	United States of America (USA)	130.16	532.0
209	Kyushu University	Japan	130.06	431.0
210	University of Münster (WWU)	Germany	129.47	496.0
211	University of Bonn (Uni Bonn)	Germany	129.44	607.0
212	Hokkaido University	Japan	128.87	387.0
213	Carnegie Mellon University (CMU)	United States of America (USA)	127.63	442.0
214	University of Virginia (UVA)	United States of America (USA)	127.49	675.0
215	Northwest University (NWU)	China	126.93	313.0
216	University of Bristol (UoB)	United Kingdom (UK)	125.99	630.0
217	Southwest Jiaotong University (SWJTU)	China	125.8	273.0
218	Tel Aviv University (TAU)	Israel	125.78	463.0
219	Czech Academy of Sciences (CAS)	Czech Republic	125.4	545.0
220	Lund University (LU)	Sweden	125.28	592.0
221	Michigan State University (MSU)	United States of America (USA)	124.51	684.0
222	Hebei University (HBU)	China	124.27	311.0
223	Free University of Berlin (FU Berlin)	Germany	124.19	891.0
224	North Carolina State University (NCSU)	United States of America (USA)	123.35	390.0
225	The University of Arizona (Arizona)	United States of America (USA)	123.01	682.0
226	RWTH Aachen University (RWTH Aachen)	Germany	122.61	612.0
227	Ningbo University (NBU)	China	122.52	373.0
228	Taiyuan University of Technology (TYUT)	China	122.3	252.0
229	Arizona State University (ASU)	United States of America (USA)	122.23	471.0
230	University of Würzburg (JMU)	Germany	122.04	463.0
231	Nantong University (NTU)	China	121.53	256.0
232	University of Basel (UB)	Switzerland	120.9	520.0
233	Shandong Normal University (SDNU)	China	120.29	270.0
234	Brown University	United States of America (USA)	120.09	515.0
235	China Pharmaceutical University (CPU)	China	120.01	225.0
236	National Research Council (CNR)	Italy	119.05	671.0
237	Leiden University	Netherlands	118.44	569.0
238	Ministry of Natural Resources (MNR)	China	117.93	735.0
239	University of California, Riverside (UCR)	United States of America (USA)	117.45	386.0
240	Ulsan National Institute of Science and Technology (UNIST)	South Korea	116.85	295.0
241	Sorbonne University	France	116.66	1348.0
242	China University of Petroleum, East China (UPC)	China	114.64	579.0
243	Nanjing University of Posts and Telecommunications (NUPT)	China	114.52	352.0
244	National Aeronautics and Space Administration (NASA)	United States of America (USA)	114.32	673.0
245	Zhejiang Normal University (ZJNU)	China	114.26	270.0
246	Guangzhou University (GU)	China	114.23	406.0
247	University of Paris-Saclay	France	114.06	1091.0
248	TU Dresden	Germany	113.95	641.0
249	University of Erlangen-Nuremberg (FAU)	Germany	113.91	413.0
250	Nanjing University of Information Science and Technology (NUIST)	China	113.52	390.0
251	The University of Texas MD Anderson Cancer Center	United States of America (USA)	112.48	507.0
252	Nanjing Forestry University (NFU)	China	112.47	369.0
253	Technical University of Denmark (DTU)	Denmark	112.26	427.0
254	China University of Mining and Technology (CUMT)	China	112.17	314.0
255	Scientific Institute for Research, Hospitalization and Healthcare (IRCCS)	Italy	112.0	780.0
256	University of Tübingen (Uni Tübingen)	Germany	111.91	522.0
257	Baylor College of Medicine (BCM)	United States of America (USA)	111.75	501.0
258	Johannes Gutenberg University Mainz (JGU)	Germany	111.33	555.0
259	Argonne National Laboratory (ANL)	United States of America (USA)	111.28	532.0
260	Inner Mongolia University	China	111.1	276.0
261	University of Vienna	Austria	110.78	428.0
262	University of Shanghai for Science and Technology (USST)	China	109.05	304.0
263	Xiangtan University (XTU)	China	108.96	222.0
264	Technion-Israel Institute of Technology (IIT)	Israel	108.86	316.0
265	Ghent University (UGent)	Belgium	108.46	469.0
266	University of Hamburg (UHH)	Germany	107.77	670.0
267	Australian National University (ANU)	Australia	107.6	442.0
268	University of Birmingham	United Kingdom (UK)	107.18	562.0
269	University of Oslo (UiO)	Norway	106.59	502.0
270	Colorado State University	United States of America (USA)	106.19	395.0
271	Hebei University of Technology (HEBUT)	China	106.13	264.0
272	U.S. Department of Veterans Affairs	United States of America (USA)	105.92	873.0
273	Nanjing Agricultural University (NAU)	China	105.8	293.0
274	Anhui Normal University (AHNU)	China	105.69	220.0
275	University of Barcelona (UB)	Spain	103.68	754.0
276	University of Bern (UniBE)	Switzerland	103.29	500.0
277	University of Colorado Anschutz Medical Campus (CU Anschutz)	United States of America (USA)	103.28	472.0
278	Oak Ridge National Laboratory (ORNL)	United States of America (USA)	103.17	426.0
279	Université PSL	France	102.4	1095.0
280	University of Göttingen	Germany	102.35	432.0
281	National University of Defense Technology (NUDT)	China	102.23	238.0
282	University of Rochester (UR)	United States of America (USA)	101.85	415.0
283	Pacific Northwest National Laboratory (PNNL)	United States of America (USA)	101.47	295.0
284	Hanyang University (HYU)	South Korea	100.96	337.0
285	State University of New York at Stony Brook (SUNY Stony Brook)	United States of America (USA)	100.65	596.0
286	Humboldt University of Berlin (HU Berlin)	Germany	100.22	821.0
287	Hunan Normal University (HUNNU)	China	100.03	277.0
288	Polish Academy of Sciences (PAS)	Poland	99.62	406.0
289	Agency for Science, Technology and Research (A*STAR)	Singapore	99.36	497.0
290	University of Glasgow	United Kingdom (UK)	98.93	560.0
291	University of Jinan (UJN)	China	98.71	251.0
292	Capital Medical University	China	98.47	483.0
293	University of Helsinki	Finland	98.33	629.0
294	Radboud University Nijmegen (RU)	Netherlands	97.97	629.0
295	China Academy of Engineering Physics (CAEP)	China	97.6	417.0
296	University of Padova (UNIPD)	Italy	97.25	537.0
297	Council of Scientific and Industrial Research (CSIR)	India	97.24	244.0
298	Indian Institute of Technology Bombay (IIT Bombay)	India	96.94	182.0
299	Henan Normal University	China	96.77	486.0
300	Barcelona Institute of Science and Technology (BIST)	Spain	96.71	378.0
301	Shanxi University (SXU)	China	96.19	353.0
302	University of Cologne (UoC)	Germany	96.01	429.0
303	Paris Cité University	France	95.82	1284.0
304	Changzhou University (CZU)	China	95.82	217.0
305	Yanshan University (YSU)	China	95.72	187.0
306	Huazhong Agricultural University (HZAU)	China	95.18	257.0
307	Chengdu University of Technology (CDUT)	China	94.55	250.0
308	Xidian University	China	94.54	227.0
309	The University of Nottingham (UoN)	United Kingdom (UK)	94.24	363.0
310	Fujian Normal University (FNU)	China	93.96	256.0
311	Durham University	United Kingdom (UK)	92.67	335.0
312	Brookhaven National Laboratory (BNL)	United States of America (USA)	92.64	446.0
313	VU Amsterdam	Netherlands	91.71	817.0
314	University of Leeds	United Kingdom (UK)	91.35	424.0
